HugoSymbol,RoleInCancer,Kinase_PPtase,TF,Location
GATA3,Oncogenes,Other,TFs,Other
GATA3,TSGs,Other,TFs,Other
GLI1,Oncogenes,Other,TFs,Other
GLI1,TSGs,Other,TFs,Other
GMPS,Other,Other,Other,Other
GNA11,Oncogenes,Other,Other,Other
GNAQ,Oncogenes,Other,Other,Other
GNAS,Oncogenes,Other,Other,Other
GOLGA5,Other,Other,Other,Other
GOPC,Oncogenes,Other,Other,Other
GPC3,Oncogenes,Other,Other,Receptors
GPC3,TSGs,Other,Other,Receptors
GPC5,TSGs,Other,Other,Receptors
GPHN,Other,Other,Other,Other
GRIN2A,TSGs,Other,Other,Other
GRM3,Oncogenes,Other,Other,Receptors
H3F3A,Oncogenes,Other,Other,Other
H3F3B,Oncogenes,Other,Other,Other
HERPUD1,Other,Other,Other,Other
HEY1,Oncogenes,Other,TFs,Other
HIF1A,Oncogenes,Other,TFs,Other
HIF1A,TSGs,Other,TFs,Other
HIP1,Oncogenes,Other,Other,Other
HIST1H3B,Oncogenes,Other,Other,Other
HIST1H4I,Other,Other,Other,Other
HLF,Oncogenes,Other,TFs,Other
HMGA1,Oncogenes,Other,Other,Other
HMGA2,Oncogenes,Other,Other,Other
HMGN2P46,Other,Other,Other,Other
HNF1A,TSGs,Other,Other,Other
HNRNPA2B1,Oncogenes,Other,Other,Other
HOOK3,Other,Other,Other,Other
HOXA11,Oncogenes,Other,TFs,Other
HOXA11,TSGs,Other,TFs,Other
HOXA13,Oncogenes,Other,TFs,Other
HOXA9,Oncogenes,Other,TFs,Other
HOXA9,TSGs,Other,TFs,Other
HOXC11,Oncogenes,Other,TFs,Other
HOXC13,Oncogenes,Other,TFs,Other
HOXD11,Oncogenes,Other,TFs,Other
HOXD13,Oncogenes,Other,TFs,Other
HRAS,Oncogenes,Other,Other,Other
HSP90AA1,Other,Other,Other,Other
HSP90AB1,Other,Other,Other,Other
ID3,TSGs,Other,Other,Other
IDH1,Oncogenes,Other,Other,Other
IDH1,TSGs,Other,Other,Other
IDH2,Oncogenes,Other,Other,Other
IGF2BP2,TSGs,Other,Other,Other
IGH,Other,Other,Other,Other
IGK,Other,Other,Other,Other
IGL,Other,Other,Other,Other
IKBKB,Oncogenes,Kinases,Other,Other
IKZF1,Oncogenes,Other,TFs,Other
IKZF1,TSGs,Other,TFs,Other
IKZF3,Oncogenes,Other,TFs,Other
IKZF3,TSGs,Other,TFs,Other
IL2,Oncogenes,Other,Other,Other
IL21R,Other,Other,Other,Receptors
IL6ST,Oncogenes,Other,Other,Other
IL7R,Oncogenes,Other,Other,Other
IRF4,Oncogenes,Other,TFs,Other
IRF4,TSGs,Other,TFs,Other
IRS4,Oncogenes,Other,Other,Other
IRS4,TSGs,Other,Other,Other
ISX,Other,Other,TFs,Other
ITGAV,TSGs,Other,Other,Receptors
ITK,Oncogenes,Kinases,Other,Other
