ensembl_gene_symbol	ensembl_gene_id	hgnc_id	ncbi_gene_id
EGR2	ENSG00000122877.18	HGNC:3239	1959
EGR3	ENSG00000179388.9	HGNC:3240	1960
EIF2B1	ENSG00000111361.13	HGNC:3257	1967
ELF4	ENSG00000102034.18	HGNC:3319	2000
ELMO1	ENSG00000155849.16	HGNC:16286	9844
ELN	ENSG00000049540.19	HGNC:3327	2006
EP400	ENSG00000183495.14	HGNC:11958	57634
EPHA1	ENSG00000146904.9	HGNC:3385	2041
EPHB4	ENSG00000196411.10	HGNC:3395	2050
EPHB6	ENSG00000106123.12	HGNC:3396	2051
ERF	ENSG00000105722.10	HGNC:3444	2077
ESCO2	ENSG00000171320.15	HGNC:27230	157570
ESR2	ENSG00000140009.19	HGNC:3468	2100
ESRRG	ENSG00000196482.18	HGNC:3474	2104
ETAA1	ENSG00000143971.9	HGNC:24648	54465
ETS2	ENSG00000157557.13	HGNC:3489	2114
EYA4	ENSG00000112319.20	HGNC:3522	2070
EYS	ENSG00000188107.15	HGNC:21555	346007
EZHIP	ENSG00000187690.4	HGNC:33738	340602
FAM135B	ENSG00000147724.12	HGNC:28029	51059
FAM47C	ENSG00000198173.5	HGNC:25301	442444
FAT2	ENSG00000086570.13	HGNC:3596	2196
FAT3	ENSG00000165323.16	HGNC:23112	120114
FAT4	ENSG00000196159.14	HGNC:23109	79633
FBLN1	ENSG00000077942.19	HGNC:3600	2192
FBLN2	ENSG00000163520.14	HGNC:3601	2199
FBXL17	ENSG00000145743.18	HGNC:13615	64839
FBXO11	ENSG00000138081.22	HGNC:13590	80204
FBXW2	ENSG00000119402.18	HGNC:13608	26190
FCGR2B	ENSG00000072694.22	HGNC:3618	2213
FCGR3A	ENSG00000203747.12	HGNC:3619	2214
FCRL4	ENSG00000163518.11	HGNC:18507	83417
FES	ENSG00000182511.12	HGNC:3657	2242
FKBP9	ENSG00000122642.11	HGNC:3725	11328
FLII	ENSG00000177731.16	HGNC:3750	2314
FLNA	ENSG00000196924.19	HGNC:3754	2316
FN1	ENSG00000115414.21	HGNC:3778	2335
FNBP1	ENSG00000187239.17	HGNC:17069	23048
FNTB	ENSG00000257365.8	HGNC:3785	2342
FOLH1	ENSG00000086205.18	HGNC:3788	2346
FOS	ENSG00000170345.10	HGNC:3796	2353
FOSL2	ENSG00000075426.12	HGNC:3798	2355
