gene	hgnc_id
PIK3R2	HGNC:8980
PIK3R3	HGNC:8981
PIM1	HGNC:8986
PLCG2	HGNC:9066
PLK2	HGNC:19699
PMAIP1	HGNC:9108
PMS1	HGNC:9121
PMS2	HGNC:9122
PNRC1	HGNC:17278
POLD1	HGNC:9175
POLE	HGNC:9177
PPARG	HGNC:9236
PPM1D	HGNC:9277
PPP2R1A	HGNC:9302
PPP2R2A	HGNC:9304
PPP6C	HGNC:9323
PRDM1	HGNC:9346
PREX2	HGNC:22950
PRKAR1A	HGNC:9388
PRKCI	HGNC:9404
PRKDC	HGNC:9413
PRSS8	HGNC:9491
PTCH1	HGNC:9585
PTEN	HGNC:9588
PTPN11	HGNC:9644
PTPRD	HGNC:9668
PTPRS	HGNC:9681
PTPRT	HGNC:9682
QKI	HGNC:21100
RAB35	HGNC:9774
RAC1	HGNC:9801
RAD21	HGNC:9811
RAD50	HGNC:9816
RAD51	HGNC:9817
RAD51B	HGNC:9822
RAD51C	HGNC:9820
RAD51D	HGNC:9823
RAD52	HGNC:9824
RAD54L	HGNC:9826
RAF1	HGNC:9829
RANBP2	HGNC:9848
RARA	HGNC:9864
RASA1	HGNC:9871
RB1	HGNC:9884
RBM10	HGNC:9896
RECQL4	HGNC:9949
REL	HGNC:9954
RET	HGNC:9967
RFWD2	HGNC:17440
RHEB	HGNC:10011
RHOA	HGNC:667
RICTOR	HGNC:28611
RIT1	HGNC:10023
RNF43	HGNC:18505
ROS1	HGNC:10261
RPS6KA4	HGNC:10433
RPS6KB1	HGNC:10436
RPS6KB2	HGNC:10437
RPTOR	HGNC:30287
RUNX1	HGNC:10471
RUNX1T1	HGNC:1535
RYBP	HGNC:10480
SDHA	HGNC:10680
SDHAF2	HGNC:26034
SDHB	HGNC:10681
SDHC	HGNC:10682
SDHD	HGNC:10683
SETBP1	HGNC:15573
SETD2	HGNC:18420
SF3B1	HGNC:10768
SH2B3	HGNC:29605
SH2D1A	HGNC:10820
SHQ1	HGNC:25543
SLIT2	HGNC:11086
SLX4	HGNC:23845
SMAD2	HGNC:6768
SMAD3	HGNC:6769
SMAD4	HGNC:6770
SMARCA4	HGNC:11100
SMARCB1	HGNC:11103
SMARCD1	HGNC:11106
SMC1A	HGNC:11111
SMC3	HGNC:2468
SMO	HGNC:11119
SNCAIP	HGNC:11139
SOCS1	HGNC:19383
SOX10	HGNC:11190
SOX17	HGNC:18122
SOX2	HGNC:11195
SOX9	HGNC:11204
SPEN	HGNC:17575
SPOP	HGNC:11254
SPTA1	HGNC:11272
SRC	HGNC:11283
SRSF2	HGNC:10783
STAG1	HGNC:11354
STAG2	HGNC:11355
STAT3	HGNC:11364
STAT4	HGNC:11365
STAT5A	HGNC:11366
STAT5B	HGNC:11367
STK11	HGNC:11389
STK40	HGNC:21373
SUFU	HGNC:16466
SUZ12	HGNC:17101
SYK	HGNC:11491
TAF1	HGNC:11535
TBX3	HGNC:11602
TCEB1	HGNC:11617
TCF3	HGNC:11633
TCF7L2	HGNC:11641
TERC	HGNC:11727
TERT	HGNC:11730
TET1	HGNC:29484
TET2	HGNC:25941
TFE3	HGNC:11752
TFRC	HGNC:11763
TGFBR1	HGNC:11772
TGFBR2	HGNC:11773
TMEM127	HGNC:26038
TMPRSS2	HGNC:11876
TNFAIP3	HGNC:11896
TNFRSF14	HGNC:11912
TOP1	HGNC:11986
TOP2A	HGNC:11989
TP53	HGNC:11998
TP63	HGNC:15979
TRAF2	HGNC:12032
TRAF7	HGNC:20456
TSC1	HGNC:12362
TSC2	HGNC:12363
TSHR	HGNC:12373
U2AF1	HGNC:12453
VEGFA	HGNC:12680
VHL	HGNC:12687
VTCN1	HGNC:28873
WISP3	HGNC:12771
WT1	HGNC:12796
XIAP	HGNC:592
XPO1	HGNC:12825
XRCC2	HGNC:12829
YAP1	HGNC:16262
YES1	HGNC:12841
ZBTB2	HGNC:20868
ZBTB7A	HGNC:18078
ZFHX3	HGNC:777
ZNF217	HGNC:13009
ZNF703	HGNC:25883
ZRSR2	HGNC:23019
