gene	reportMissense	reportNonsense	reportSplice	reportDeletion	reportDisruption	reportAmplification	reportSomaticHotspot	likelihoodType	reportGermlineVariant	reportGermlineHotspot	reportGermlineDisruption	reportGermlineDeletion	additionalReportedTranscripts	reportPGX
DIAPH2	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
DICER1	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
DLG2	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
DMD	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
DNM2	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
DNMT3A	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
DOCK8	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
DPYD	false	false	false	false	false	false	false	TSG	NONE	NONE	NONE	NONE		true
DROSHA	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
EEF1A1	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
EGFR	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
EIF1AX	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
ELF3	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
EML4	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
EP300	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
EPAS1	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
EPCAM	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
EPHA2	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
ERBB2	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
ERBB3	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
ERBB4	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
