Gene_symbol	Ensembl_ID	hgnc_id
GPC3	ENSG00000147257	HGNC:4451
GPHN	ENSG00000171723	HGNC:15465
GPS2	ENSG00000132522	HGNC:4550
GRIN2A	ENSG00000183454	HGNC:4585
GRM3	ENSG00000198822	HGNC:4595
GTF2I	ENSG00000263001	HGNC:4659
H3F3A	ENSG00000163041	HGNC:4764
H3F3B	ENSG00000132475	HGNC:4765
HERPUD1	ENSG00000051108	HGNC:13744
HEY1	ENSG00000164683	HGNC:4880
HIF1A	ENSG00000100644	HGNC:4910
HIP1	ENSG00000263334	HGNC:4913
HIST1H1C	ENSG00000187837	HGNC:4716
HIST1H3B	ENSG00000124693	HGNC:4776
HIST1H4I	ENSG00000198339	HGNC:4793
HLA-A	ENSG00000224320	HGNC:4931
HLA-B	ENSG00000234745	HGNC:4932
HLF	ENSG00000108924	HGNC:4977
HMGA1	ENSG00000137309	HGNC:5010
HMGA2	ENSG00000149948	HGNC:5009
HNF1A	ENSG00000135100	HGNC:11621
HNRNPA2B1	ENSG00000122566	HGNC:5033
HOOK3	ENSG00000168172	HGNC:23576
HOXA11	ENSG00000005073	HGNC:5101
HOXA13	ENSG00000106031	HGNC:5102
HOXA9	ENSG00000078399	HGNC:5109
HOXC11	ENSG00000123388	HGNC:5123
HOXC13	ENSG00000123364	HGNC:5125
HOXD11	ENSG00000128713	HGNC:5134
HOXD13	ENSG00000128714	HGNC:5136
HRAS	ENSG00000174775	HGNC:5173
HSP90AA1	ENSG00000080824	HGNC:5253
HSP90AB1	ENSG00000096384	HGNC:5258
ID3	ENSG00000117318	HGNC:5362
IDH1	ENSG00000138413	HGNC:5382
IDH2	ENSG00000182054	HGNC:5383
IFNGR1	ENSG00000027697	HGNC:5439
IKBKB	ENSG00000104365	HGNC:5960
IKZF1	ENSG00000185811	HGNC:13176
IKZF3	ENSG00000161405	HGNC:13178
IL2	ENSG00000109471	HGNC:6001
IL21R	ENSG00000103522	HGNC:6006
IL6ST	ENSG00000134352	HGNC:6021
IL7R	ENSG00000168685	HGNC:6024
IRF4	ENSG00000137265	HGNC:6119
IRF8	ENSG00000140968	HGNC:5358
IRS4	ENSG00000133124	HGNC:6128
ITK	ENSG00000113263	HGNC:6171
JAK1	ENSG00000162434	HGNC:6190
JAK2	ENSG00000096968	HGNC:6192
JAK3	ENSG00000105639	HGNC:6193
JAZF1	ENSG00000153814	HGNC:28917
JMJD1C	ENSG00000171988	HGNC:12313
JUN	ENSG00000177606	HGNC:6204
KAT6A	ENSG00000083168	HGNC:13013
KAT6B	ENSG00000156650	HGNC:17582
KCNJ5	ENSG00000120457	HGNC:6266
KDM5A	ENSG00000073614	HGNC:9886
KDM5C	ENSG00000269816	HGNC:11114
KDM6A	ENSG00000147050	HGNC:12637
KDR	ENSG00000128052	HGNC:6307
KDSR	ENSG00000119537	HGNC:4021
KEAP1	ENSG00000079999	HGNC:23177
KIF5B	ENSG00000170759	HGNC:6324
KIT	ENSG00000157404	HGNC:6342
KLF4	ENSG00000136826	HGNC:6348
KLF6	ENSG00000067082	HGNC:2235
KLHL6	ENSG00000172578	HGNC:18653
KLK2	ENSG00000167751	HGNC:6363
KMT2A	ENSG00000267910	HGNC:7132
KMT2C	ENSG00000055609	HGNC:13726
KMT2D	ENSG00000167548	HGNC:7133
KNSTRN	ENSG00000128944	HGNC:30767
KRAS	ENSG00000133703	HGNC:6407
KTN1	ENSG00000126777	HGNC:6467
LARP4B	ENSG00000107929	HGNC:28987
LASP1	ENSG00000002834	HGNC:6513
LATS1	ENSG00000131023	HGNC:6514
LATS2	ENSG00000150457	HGNC:6515
LCK	ENSG00000182866	HGNC:6524
LCP1	ENSG00000136167	HGNC:6528
LEF1	ENSG00000138795	HGNC:6551
LIFR	ENSG00000113594	HGNC:6597
LMNA	ENSG00000160789	HGNC:6636
LMO1	ENSG00000166407	HGNC:6641
LMO2	ENSG00000135363	HGNC:6642
LPP	ENSG00000145012	HGNC:6679
LRIG3	ENSG00000139263	HGNC:30991
LRP1B	ENSG00000168702	HGNC:6693
LYL1	ENSG00000104903	HGNC:6734
LZTR1	ENSG00000099949	HGNC:6742
MAF	ENSG00000178573	HGNC:6776
MAFB	ENSG00000204103	HGNC:6408
MALT1	ENSG00000172175	HGNC:6819
MAML2	ENSG00000184384	HGNC:16259
MAP2K1	ENSG00000169032	HGNC:6840
MAP2K2	ENSG00000126934	HGNC:6842
MAP2K4	ENSG00000065559	HGNC:6844
MAP3K1	ENSG00000095015	HGNC:6848
