symbol	hgnc_id
ZCRB1	HGNC:29620
ZEB1	HGNC:11642
ZFHX3	HGNC:777
ZFP36L1	HGNC:1107
ZMYM2	HGNC:12989
ZMYM3	HGNC:13054
ZNF208	HGNC:12999
ZNF274	HGNC:13068
ZNF331	HGNC:15489
ZNF395	HGNC:18737
ZNF429	HGNC:20817
ZNF521	HGNC:24605
ZNF626	HGNC:30461
ZNF680	HGNC:26897
ZNF721	HGNC:29425
ZNF750	HGNC:25843
ZNF780A	HGNC:27603
ZNF799	HGNC:28071
ZNF814	HGNC:33258
ZNF90	HGNC:13165
ZNF93	HGNC:13169
ZNRF3	HGNC:18126
ZRSR2	HGNC:23019
ZXDB	HGNC:13199
