hgnc_id	tsgene	oncogene	cancer_max_rank
HGNC:1952	FALSE	FALSE	0.668895
HGNC:1957	FALSE	FALSE	0.916043
HGNC:1958	FALSE	FALSE	0.809643
HGNC:1959	FALSE	FALSE	0.964672
HGNC:1964	FALSE	FALSE	0.746052
HGNC:1974	FALSE	FALSE	0.75527
HGNC:564	FALSE	FALSE	0.735661
HGNC:2095	TRUE	FALSE	0.824605
HGNC:2092	TRUE	FALSE	0.916129
HGNC:1602	FALSE	FALSE	0.671465
HGNC:1604	FALSE	FALSE	0.68946
HGNC:1605	FALSE	TRUE	0.855778
HGNC:1606	FALSE	FALSE	0.729049
HGNC:1608	FALSE	TRUE	0.823716
HGNC:1609	FALSE	FALSE	0.694087
HGNC:2154	FALSE	FALSE	0.752702
HGNC:2197	FALSE	FALSE	0.943511
HGNC:2198	FALSE	FALSE	0.703817
HGNC:2200	FALSE	FALSE	0.89357
HGNC:2201	FALSE	FALSE	0.888612
HGNC:2202	FALSE	FALSE	0.735574
HGNC:2203	FALSE	FALSE	0.604113
HGNC:2211	FALSE	FALSE	0.506427
HGNC:2212	FALSE	FALSE	0.516195
HGNC:2186	FALSE	FALSE	0.538364
HGNC:2235	TRUE	FALSE	0.96519
HGNC:6860	FALSE	TRUE	0.64473
HGNC:2285	FALSE	FALSE	0.727764
HGNC:2049	FALSE	FALSE	0.590361
HGNC:2345	FALSE	TRUE	0.911616
HGNC:2348	TRUE	TRUE	0.986968
HGNC:2352	FALSE	FALSE	0.786118
HGNC:2362	FALSE	FALSE	0.511232
HGNC:2363	FALSE	TRUE	0.759897
HGNC:2367	FALSE	TRUE	0.513673
HGNC:6876	TRUE	FALSE	0.621998
HGNC:2433	FALSE	TRUE	0.98232
HGNC:2434	FALSE	TRUE	0.840214
HGNC:2435	FALSE	FALSE	0.795373
HGNC:2439	FALSE	TRUE	0.991575
HGNC:2453	FALSE	FALSE	0.844483
HGNC:2457	FALSE	FALSE	0.598605
HGNC:2459	FALSE	FALSE	0.603044
HGNC:2460	FALSE	FALSE	0.747044
HGNC:2465	FALSE	FALSE	0.579434
HGNC:2466	FALSE	FALSE	0.568552
HGNC:2481	FALSE	FALSE	0.580977
HGNC:2500	TRUE	TRUE	0.849724
HGNC:2505	FALSE	FALSE	0.976944
HGNC:2509	TRUE	FALSE	0.952862
HGNC:2510	FALSE	TRUE	0.832905
HGNC:2514	FALSE	TRUE	0.998391
HGNC:2515	FALSE	FALSE	0.718855
HGNC:2516	FALSE	TRUE	0.762626
HGNC:2529	FALSE	FALSE	0.630091
HGNC:2532	FALSE	FALSE	0.74642
HGNC:2545	FALSE	FALSE	0.638498
HGNC:2557	TRUE	TRUE	0.946961
HGNC:2558	FALSE	FALSE	0.669409
HGNC:2584	TRUE	FALSE	0.92454
HGNC:2596	FALSE	FALSE	0.528686
HGNC:2597	FALSE	FALSE	0.723944
HGNC:2610	FALSE	FALSE	0.888196
HGNC:2615	FALSE	FALSE	0.531105
HGNC:2622	FALSE	FALSE	0.760599
HGNC:2590	FALSE	FALSE	0.855932
HGNC:2591	FALSE	FALSE	0.864407
HGNC:2593	FALSE	FALSE	0.984177
HGNC:2594	FALSE	FALSE	0.988381
HGNC:2602	FALSE	TRUE	0.766002
HGNC:2606	FALSE	FALSE	0.566899
HGNC:2662	TRUE	FALSE	0.560682
HGNC:2849	FALSE	FALSE	0.794344
HGNC:2850	FALSE	FALSE	0.789203
HGNC:2674	TRUE	FALSE	0.584987
HGNC:2681	TRUE	TRUE	0.918537
HGNC:2685	FALSE	FALSE	0.880952
HGNC:2701	TRUE	FALSE	0.898403
HGNC:2705	FALSE	FALSE	0.541019
HGNC:2707	FALSE	FALSE	0.565147
HGNC:2717	FALSE	FALSE	0.897051
HGNC:2718	TRUE	TRUE	0.901408
HGNC:384	FALSE	FALSE	0.662926
HGNC:4095	FALSE	FALSE	0.740648
HGNC:2726	FALSE	TRUE	0.951145
HGNC:2745	TRUE	TRUE	0.929563
HGNC:2746	FALSE	TRUE	0.89899
HGNC:2747	FALSE	TRUE	0.822943
HGNC:2750	FALSE	TRUE	0.66756
HGNC:2735	TRUE	FALSE	0.780549
HGNC:2810	TRUE	FALSE	0.804692
HGNC:2861	FALSE	FALSE	0.979634
HGNC:2903	FALSE	FALSE	0.77635
HGNC:2911	FALSE	FALSE	0.89313
HGNC:2915	FALSE	FALSE	0.667699
HGNC:2928	FALSE	FALSE	0.624093
HGNC:2934	FALSE	FALSE	0.904762
HGNC:2939	FALSE	FALSE	0.709512
HGNC:2959	FALSE	FALSE	0.53941
HGNC:2974	TRUE	FALSE	0.883805
HGNC:2976	TRUE	TRUE	0.957877
HGNC:2978	TRUE	TRUE	0.994945
HGNC:2979	TRUE	FALSE	0.649884
HGNC:2987	FALSE	FALSE	0.656041
HGNC:3009	TRUE	FALSE	0.593566
HGNC:3012	FALSE	FALSE	0.919035
HGNC:3020	FALSE	FALSE	0.611825
HGNC:3023	FALSE	FALSE	0.960685
HGNC:3024	FALSE	FALSE	0.729563
HGNC:3025	FALSE	FALSE	0.929223
HGNC:3026	FALSE	FALSE	0.597429
HGNC:3048	FALSE	FALSE	0.58445
HGNC:3049	FALSE	FALSE	0.874036
HGNC:3050	FALSE	FALSE	0.614298
HGNC:3052	FALSE	FALSE	0.675578
HGNC:3054	FALSE	FALSE	0.955496
HGNC:3059	FALSE	TRUE	0.651288
HGNC:3060	FALSE	FALSE	0.542803
HGNC:3064	FALSE	FALSE	0.664088
HGNC:3068	FALSE	FALSE	0.650829
HGNC:3070	TRUE	FALSE	0.736638
HGNC:3071	FALSE	FALSE	0.76401
HGNC:3074	FALSE	FALSE	0.769666
HGNC:3076	FALSE	FALSE	0.533666
HGNC:3086	FALSE	FALSE	0.590231
HGNC:3113	TRUE	TRUE	0.792186
HGNC:3114	TRUE	TRUE	0.621433
HGNC:3115	FALSE	TRUE	0.762261
HGNC:3118	FALSE	FALSE	0.702828
HGNC:3126	TRUE	FALSE	0.911381
HGNC:3165	FALSE	FALSE	0.508254
HGNC:3166	FALSE	FALSE	0.771208
HGNC:3167	FALSE	FALSE	0.615938
HGNC:3179	FALSE	FALSE	0.582609
HGNC:3180	FALSE	FALSE	0.589727
HGNC:3214	FALSE	FALSE	0.654591
HGNC:3229	FALSE	TRUE	0.794859
HGNC:3236	FALSE	TRUE	1
HGNC:3238	TRUE	TRUE	0.524933
HGNC:3239	FALSE	FALSE	0.600887
HGNC:3250	FALSE	TRUE	0.799559
HGNC:3386	FALSE	TRUE	0.981769
HGNC:3284	FALSE	FALSE	0.699917
HGNC:3285	FALSE	FALSE	0.554863
HGNC:3287	FALSE	TRUE	0.561097
HGNC:3296	FALSE	FALSE	0.804239
HGNC:3309	FALSE	FALSE	0.551122
HGNC:3318	TRUE	TRUE	0.951743
HGNC:3319	TRUE	TRUE	0.864933
HGNC:3326	FALSE	TRUE	0.78674
HGNC:3327	FALSE	FALSE	0.840837
HGNC:3349	FALSE	FALSE	0.568365
HGNC:3373	TRUE	FALSE	0.983486
HGNC:3374	TRUE	TRUE	0.942541
HGNC:3385	FALSE	FALSE	0.827515
HGNC:3387	FALSE	FALSE	0.929759
HGNC:3388	FALSE	FALSE	0.713656
HGNC:3389	FALSE	FALSE	0.836658
HGNC:3390	TRUE	FALSE	0.919784
HGNC:3391	FALSE	FALSE	0.810058
HGNC:3392	FALSE	FALSE	0.798005
HGNC:3393	TRUE	FALSE	0.94462
HGNC:3394	FALSE	FALSE	0.797174
HGNC:3395	TRUE	FALSE	0.80133
HGNC:3396	FALSE	FALSE	0.827099
HGNC:3402	FALSE	FALSE	0.602244
HGNC:3416	FALSE	FALSE	0.791946
HGNC:3419	TRUE	FALSE	0.804655
HGNC:3430	FALSE	TRUE	0.998316
HGNC:3431	FALSE	TRUE	0.988215
HGNC:3432	TRUE	TRUE	0.995012
HGNC:3433	FALSE	FALSE	0.571488
HGNC:3434	TRUE	FALSE	0.972477
HGNC:3443	FALSE	FALSE	0.700748
HGNC:3522	TRUE	FALSE	0.623857
HGNC:3435	TRUE	FALSE	0.91064
HGNC:3436	TRUE	FALSE	0.933333
HGNC:3437	TRUE	FALSE	0.914554
HGNC:3438	FALSE	FALSE	0.762677
HGNC:3446	FALSE	TRUE	0.969937
HGNC:3467	TRUE	TRUE	0.997676
HGNC:3468	FALSE	TRUE	0.969791
HGNC:3474	FALSE	FALSE	0.810999
HGNC:3488	FALSE	TRUE	0.797943
HGNC:3490	FALSE	TRUE	0.918121
HGNC:3493	FALSE	TRUE	0.900316
HGNC:3494	FALSE	TRUE	0.895677
HGNC:3495	TRUE	TRUE	0.984836
HGNC:3498	FALSE	TRUE	0.917706
HGNC:3499	FALSE	FALSE	0.755725
HGNC:3508	FALSE	TRUE	0.997783
HGNC:3512	TRUE	FALSE	0.993348
HGNC:3513	TRUE	FALSE	0.980044
HGNC:3519	FALSE	FALSE	0.596915
HGNC:3520	FALSE	FALSE	0.601028
HGNC:3527	TRUE	TRUE	0.989574
HGNC:3535	FALSE	FALSE	0.73419
HGNC:3537	FALSE	FALSE	0.720283
HGNC:3538	FALSE	FALSE	0.68329
HGNC:3546	FALSE	FALSE	0.639589
HGNC:3528	FALSE	FALSE	0.670407
HGNC:3529	FALSE	FALSE	0.521613
HGNC:3530	FALSE	FALSE	0.518703
HGNC:3531	FALSE	FALSE	0.681234
HGNC:3582	TRUE	FALSE	0.925174
HGNC:3584	TRUE	FALSE	0.948102
HGNC:3585	TRUE	FALSE	0.923109
HGNC:3586	TRUE	FALSE	0.866836
HGNC:3570	FALSE	FALSE	0.66059
HGNC:3571	FALSE	FALSE	0.515282
HGNC:9612	FALSE	FALSE	0.553728
HGNC:3583	FALSE	FALSE	0.795815
HGNC:3587	TRUE	FALSE	0.893184
HGNC:3588	TRUE	FALSE	0.870324
HGNC:3600	FALSE	FALSE	0.636326
HGNC:3594	FALSE	TRUE	0.647306
HGNC:3595	TRUE	FALSE	0.986684
HGNC:3597	FALSE	FALSE	0.514412
HGNC:3601	TRUE	FALSE	0.84414
HGNC:3603	FALSE	FALSE	0.524883
HGNC:3606	FALSE	FALSE	0.517426
HGNC:3612	FALSE	FALSE	0.523023
HGNC:3618	FALSE	TRUE	0.798122
HGNC:3619	FALSE	FALSE	0.500951
HGNC:3631	FALSE	FALSE	0.667914
HGNC:3650	TRUE	FALSE	0.778271
HGNC:3657	TRUE	TRUE	0.880152
HGNC:3661	FALSE	FALSE	0.931903
HGNC:3662	FALSE	FALSE	0.755611
HGNC:3665	FALSE	FALSE	0.893298
HGNC:3676	FALSE	FALSE	0.900268
HGNC:3681	FALSE	FALSE	0.665217
HGNC:3682	FALSE	TRUE	0.640067
HGNC:3683	FALSE	TRUE	0.696176
HGNC:3685	FALSE	FALSE	0.768638
HGNC:3686	FALSE	FALSE	0.517371
HGNC:3687	FALSE	FALSE	0.719565
HGNC:3666	FALSE	FALSE	0.883036
HGNC:3688	FALSE	TRUE	0.994859
HGNC:3690	FALSE	TRUE	0.998165
HGNC:4453	TRUE	FALSE	0.816107
HGNC:3689	FALSE	TRUE	0.994638
HGNC:3691	FALSE	TRUE	0.987668
HGNC:3697	FALSE	TRUE	0.922494
HGNC:3700	TRUE	FALSE	0.984946
HGNC:3701	TRUE	FALSE	0.949293
HGNC:3711	FALSE	FALSE	0.97748
HGNC:3809	TRUE	FALSE	0.712963
HGNC:3817	FALSE	FALSE	0.502177
HGNC:3806	FALSE	FALSE	0.951542
HGNC:3818	FALSE	TRUE	0.813882
HGNC:3819	TRUE	TRUE	0.946565
HGNC:3821	TRUE	TRUE	0.910147
HGNC:3748	FALSE	FALSE	0.858216
HGNC:3749	FALSE	TRUE	0.91796
HGNC:3754	FALSE	FALSE	0.849871
HGNC:3763	FALSE	TRUE	0.986595
HGNC:3765	FALSE	TRUE	0.995788
HGNC:3767	FALSE	TRUE	0.996247
HGNC:3778	FALSE	FALSE	0.798458
HGNC:3782	FALSE	FALSE	0.62365
HGNC:3785	FALSE	FALSE	0.610783
HGNC:3788	FALSE	FALSE	0.958861
HGNC:3796	FALSE	TRUE	0.812968
HGNC:3827	FALSE	FALSE	0.689974
HGNC:3828	FALSE	FALSE	0.664781
HGNC:3955	FALSE	TRUE	0.908847
HGNC:3942	FALSE	TRUE	0.980977
HGNC:3969	FALSE	FALSE	0.7491
HGNC:7984	FALSE	TRUE	0.737017
HGNC:3976	FALSE	FALSE	0.5133
HGNC:4010	TRUE	TRUE	0.972519
HGNC:4035	FALSE	FALSE	0.61491
HGNC:4037	FALSE	TRUE	0.926706
HGNC:4055	FALSE	FALSE	0.546966
HGNC:4066	FALSE	FALSE	0.731769
HGNC:4075	FALSE	FALSE	0.592593
HGNC:4076	FALSE	FALSE	0.592593
HGNC:4077	FALSE	FALSE	0.937265
HGNC:4078	FALSE	FALSE	0.592593
HGNC:4079	FALSE	FALSE	0.934048
HGNC:4080	FALSE	FALSE	0.933512
HGNC:4081	FALSE	FALSE	0.592593
HGNC:4082	FALSE	FALSE	0.686201
HGNC:4083	FALSE	FALSE	0.940483
HGNC:4084	FALSE	FALSE	0.936729
HGNC:4085	FALSE	FALSE	0.960858
HGNC:4086	FALSE	FALSE	0.693038
HGNC:4087	FALSE	FALSE	0.592593
HGNC:4088	FALSE	FALSE	0.934584
HGNC:4089	FALSE	FALSE	0.938874
HGNC:4132	FALSE	FALSE	0.661697
HGNC:4125	FALSE	FALSE	0.926174
HGNC:4163	FALSE	FALSE	0.89734
HGNC:4170	TRUE	TRUE	0.961247
HGNC:4171	FALSE	TRUE	0.981466
HGNC:4172	TRUE	TRUE	0.986832
HGNC:4191	FALSE	FALSE	0.583914
HGNC:4201	FALSE	FALSE	0.70577
HGNC:4217	FALSE	FALSE	0.559786
HGNC:4232	FALSE	FALSE	0.79126
HGNC:4243	FALSE	FALSE	0.767095
HGNC:4261	FALSE	FALSE	0.858612
HGNC:4263	FALSE	FALSE	0.502413
HGNC:4287	FALSE	FALSE	0.500416
HGNC:4451	TRUE	TRUE	0.954424
HGNC:4313	FALSE	FALSE	0.738359
HGNC:4317	FALSE	TRUE	0.876974
HGNC:4318	FALSE	TRUE	0.502314
HGNC:4326	FALSE	FALSE	0.558081
HGNC:4331	FALSE	TRUE	0.751039
HGNC:4379	FALSE	TRUE	0.934783
HGNC:4385	FALSE	FALSE	0.555485
HGNC:4387	FALSE	FALSE	0.555485
HGNC:4388	FALSE	FALSE	0.632708
HGNC:4389	FALSE	FALSE	0.575835
HGNC:4390	FALSE	TRUE	0.978261
HGNC:4392	FALSE	TRUE	0.992391
HGNC:4395	FALSE	FALSE	0.519119
HGNC:4396	FALSE	FALSE	0.88711
HGNC:4400	FALSE	FALSE	0.61636
