gene	reportMissense	reportNonsense	reportSplice	reportDeletion	reportDisruption	reportAmplification	reportSomaticHotspot	likelihoodType	reportGermlineVariant	reportGermlineHotspot	reportGermlineDisruption	reportGermlineDeletion	additionalReportedTranscripts	reportPGX
DOT1L	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
DPYD	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
DROSHA	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
DUSP22	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
DUSP4	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
DUX4	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
DUX4L1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
E2F3	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
EBF1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
EED	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
EGFR	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
EGLN1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
EGLN2	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
EGR1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
EHF	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
EIF1AX	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
EIF3E	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
EIF4A1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
EIF4A2	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
ELANE	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
ELF3	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
ELK4	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
ELL	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
ELOC	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
EML4	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
ENG	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
EP300	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
EPAS1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
EPCAM	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
EPHA2	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
EPHA3	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
EPHA7	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
EPHB1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
EPOR	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
EPS15	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
ERBB2	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
ERBB3	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
ERBB4	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
ERC1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
ERCC1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
ERCC2	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
ERCC3	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
ERCC4	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
ERCC5	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
ERCC6	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
ERG	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
ERRFI1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
ESR1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
ESRP1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
ETNK1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
ETS1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
ETV1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
ETV4	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
ETV5	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
ETV6	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
EWSR1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
EXT1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
EXT2	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
EZH1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
EZH2	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
EZR	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FAM131B	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FANCA	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FANCB	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FANCC	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FANCD2	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
