symbol	oncogene	tsgene	hgnc_id
SLC1A6	FALSE	FALSE	HGNC:10944
SLC22A1	FALSE	FALSE	HGNC:10963
SLC22A11	FALSE	FALSE	HGNC:18120
SLC22A2	FALSE	FALSE	HGNC:10966
SLC22A8	FALSE	FALSE	HGNC:10972
SLC24A5	FALSE	FALSE	HGNC:20611
SLC25A17	FALSE	FALSE	HGNC:10987
SLC25A45	FALSE	FALSE	HGNC:27442
SLC26A3	FALSE	FALSE	HGNC:3018
SLC29A2	FALSE	FALSE	HGNC:11004
SLC2A13	FALSE	FALSE	HGNC:15956
SLC30A6	FALSE	FALSE	HGNC:19305
SLC34A2	FALSE	TRUE	HGNC:11020
SLC35A5	FALSE	FALSE	HGNC:20792
SLC35F1	FALSE	FALSE	HGNC:21483
SLC35G1	FALSE	FALSE	HGNC:26607
SLC35G2	FALSE	FALSE	HGNC:28480
SLC38A3	FALSE	FALSE	HGNC:18044
SLC38A8	FALSE	FALSE	HGNC:32434
SLC39A12	FALSE	FALSE	HGNC:20860
SLC44A3	FALSE	FALSE	HGNC:28689
SLC44A5	FALSE	FALSE	HGNC:28524
SLC4A10	FALSE	FALSE	HGNC:13811
SLC4A2	FALSE	FALSE	HGNC:11028
SLC4A5	FALSE	FALSE	HGNC:18168
SLC5A3	FALSE	FALSE	HGNC:11038
SLC66A1L	FALSE	FALSE	HGNC:25146
SLC6A11	FALSE	FALSE	HGNC:11044
SLC6A15	FALSE	FALSE	HGNC:13621
SLC6A2	FALSE	FALSE	HGNC:11048
SLC6A3	FALSE	FALSE	HGNC:11049
SLC6A9	FALSE	FALSE	HGNC:11056
SLC7A13	FALSE	FALSE	HGNC:23092
SLC7A6	FALSE	FALSE	HGNC:11064
SLC7A6OS	FALSE	FALSE	HGNC:25807
SLC9A3R1	FALSE	FALSE	HGNC:11075
SLC9C1	FALSE	FALSE	HGNC:31401
SLC9C2	FALSE	FALSE	HGNC:28664
SLCO1B1	FALSE	FALSE	HGNC:10959
SLFN13	FALSE	FALSE	HGNC:26481
SLIRP	FALSE	FALSE	HGNC:20495
SLIT2	FALSE	FALSE	HGNC:11086
SLIT3	FALSE	FALSE	HGNC:11087
SLITRK2	FALSE	FALSE	HGNC:13449
SLITRK3	FALSE	FALSE	HGNC:23501
SLITRK5	FALSE	FALSE	HGNC:20295
SLITRK6	FALSE	FALSE	HGNC:23503
SLURP1	FALSE	FALSE	HGNC:18746
SMAD2	FALSE	TRUE	HGNC:6768
SMAD3	FALSE	TRUE	HGNC:6769
SMAD4	FALSE	TRUE	HGNC:6770
SMAD6	FALSE	FALSE	HGNC:6772
SMARCA1	FALSE	FALSE	HGNC:11097
SMARCA4	FALSE	TRUE	HGNC:11100
SMARCB1	FALSE	TRUE	HGNC:11103
SMARCD1	FALSE	TRUE	HGNC:11106
SMARCE1	FALSE	TRUE	HGNC:11109
SMC1A	FALSE	TRUE	HGNC:11111
SMC1B	FALSE	FALSE	HGNC:11112
SMC2	FALSE	FALSE	HGNC:14011
SMC3	FALSE	FALSE	HGNC:2468
SMC4	FALSE	FALSE	HGNC:14013
SMG1	FALSE	FALSE	HGNC:30045
SMG5	FALSE	FALSE	HGNC:24644
SMG6	FALSE	FALSE	HGNC:17809
SMG7	FALSE	FALSE	HGNC:16792
SMG8	FALSE	FALSE	HGNC:25551
SMO	TRUE	FALSE	HGNC:11119
SMTN	FALSE	FALSE	HGNC:11126
SMU1	FALSE	FALSE	HGNC:18247
SMUG1	FALSE	FALSE	HGNC:17148
SMURF2	FALSE	FALSE	HGNC:16809
SND1	TRUE	FALSE	HGNC:30646
SNED1	FALSE	FALSE	HGNC:24696
SNRK	FALSE	FALSE	HGNC:30598
SNRNP200	FALSE	FALSE	HGNC:30859
SNRNP35	FALSE	FALSE	HGNC:30852
SNRNP48	FALSE	FALSE	HGNC:21368
SNRPA	FALSE	FALSE	HGNC:11151
SNRPD2	FALSE	FALSE	HGNC:11159
SNRPD3	FALSE	FALSE	HGNC:11160
SNRPN	FALSE	FALSE	HGNC:11164
SNTB1	FALSE	FALSE	HGNC:11168
SNTB2	FALSE	FALSE	HGNC:11169
SNX16	FALSE	FALSE	HGNC:14980
SNX19	FALSE	FALSE	HGNC:21532
SNX25	FALSE	FALSE	HGNC:21883
SNX31	FALSE	FALSE	HGNC:28605
SNX7	FALSE	FALSE	HGNC:14971
SNX8	FALSE	FALSE	HGNC:14972
SOAT1	FALSE	FALSE	HGNC:11177
SOCS1	FALSE	TRUE	HGNC:19383
SOHLH2	FALSE	FALSE	HGNC:26026
SON	FALSE	FALSE	HGNC:11183
SORCS1	FALSE	FALSE	HGNC:16697
SORCS2	FALSE	FALSE	HGNC:16698
SOS1	FALSE	FALSE	HGNC:11187
SOX11	FALSE	FALSE	HGNC:11191
SOX17	FALSE	FALSE	HGNC:18122
SOX2	TRUE	FALSE	HGNC:11195
SOX21	FALSE	TRUE	HGNC:11197
SOX5	FALSE	FALSE	HGNC:11201
SOX9	FALSE	TRUE	HGNC:11204
SP140	FALSE	FALSE	HGNC:17133
SP8	FALSE	FALSE	HGNC:19196
SPAG17	FALSE	FALSE	HGNC:26620
SPAM1	FALSE	FALSE	HGNC:11217
SPANXN1	FALSE	FALSE	HGNC:33174
SPANXN2	FALSE	FALSE	HGNC:33175
SPART	FALSE	FALSE	HGNC:18514
SPATA18	FALSE	FALSE	HGNC:29579
SPATA19	FALSE	FALSE	HGNC:30614
SPATA5L1	FALSE	FALSE	HGNC:28762
SPATA6	FALSE	FALSE	HGNC:18309
