gene	likelihoodType	hgnc_id	oncogene	tsgene
FGFR4	ONCO	HGNC:3691	TRUE	FALSE
FH	TSG	HGNC:3700	FALSE	TRUE
FHIT	TSG	HGNC:3701	FALSE	TRUE
FIP1L1	NA	HGNC:19124	NA	NA
FLCN	TSG	HGNC:27310	FALSE	TRUE
FLI1	NA	HGNC:3749	NA	NA
FLNA	NA	HGNC:3754	NA	NA
FLT1	TSG	HGNC:3763	FALSE	TRUE
FLT3	ONCO	HGNC:3765	TRUE	FALSE
FLT4	ONCO	HGNC:3767	TRUE	FALSE
FN1	NA	HGNC:3778	NA	NA
FNTB	ONCO	HGNC:3785	TRUE	FALSE
FOSB	NA	HGNC:3797	NA	NA
FOSL2	TSG	HGNC:3798	FALSE	TRUE
FOXA1	ONCO	HGNC:5021	TRUE	FALSE
FOXA2	ONCO	HGNC:5022	TRUE	FALSE
FOXL2	ONCO	HGNC:1092	TRUE	FALSE
FOXO1	NA	HGNC:3819	NA	NA
FOXO3	TSG	HGNC:3821	FALSE	TRUE
FOXO4	NA	HGNC:7139	NA	NA
FOXP1	TSG	HGNC:3823	FALSE	TRUE
FOXQ1	TSG	HGNC:20951	FALSE	TRUE
FUBP1	ONCO	HGNC:4004	TRUE	FALSE
FUS	NA	HGNC:4010	NA	NA
G6PD	TSG	HGNC:4057	FALSE	TRUE
GAS7	NA	HGNC:4169	NA	NA
GATA1	TSG	HGNC:4170	FALSE	TRUE
GATA2	ONCO	HGNC:4171	TRUE	FALSE
GATA3	TSG	HGNC:4172	FALSE	TRUE
GATA6	ONCO	HGNC:4174	TRUE	FALSE
GIT2	NA	HGNC:4273	NA	NA
GLI1	NA	HGNC:4317	NA	NA
GLIS2	NA	HGNC:29450	NA	NA
GLIS3	NA	HGNC:28510	NA	NA
GMDS	TSG	HGNC:4369	FALSE	TRUE
GNA11	ONCO	HGNC:4379	TRUE	FALSE
GNAI1	NA	HGNC:4384	NA	NA
GNAQ	ONCO	HGNC:4390	TRUE	FALSE
GNAS	ONCO	HGNC:4392	TRUE	FALSE
GOPC	NA	HGNC:17643	NA	NA
GPHN	TSG	HGNC:15465	FALSE	TRUE
GPS2	TSG	HGNC:4550	FALSE	TRUE
GRIN2A	TSG	HGNC:4585	FALSE	TRUE
GSK3B	ONCO	HGNC:4617	TRUE	FALSE
GSTP1	TSG	HGNC:4638	FALSE	TRUE
GTF2I	ONCO	HGNC:4659	TRUE	FALSE
H1-2	ONCO	HGNC:4716	TRUE	FALSE
H3-3A	ONCO	HGNC:4764	TRUE	FALSE
H3-3B	ONCO	HGNC:4765	TRUE	FALSE
H3C13	ONCO	HGNC:25311	TRUE	FALSE
