ensembl_gene_id	symbol	hgnc_id
ENSG00000070404	FSTL3	HGNC:3973
ENSG00000162613	FUBP1	HGNC:4004
ENSG00000089280	FUS	HGNC:4010
ENSG00000007237	GAS7	HGNC:4169
ENSG00000102145	GATA1	HGNC:4170
ENSG00000179348	GATA2	HGNC:4171
ENSG00000107485	GATA3	HGNC:4172
ENSG00000111087	GLI1	HGNC:4317
ENSG00000163655	GMPS	HGNC:4378
ENSG00000088256	GNA11	HGNC:4379
ENSG00000156052	GNAQ	HGNC:4390
ENSG00000087460	GNAS	HGNC:4392
ENSG00000066455	GOLGA5	HGNC:4428
ENSG00000047932	GOPC	HGNC:17643
ENSG00000147257	GPC3	HGNC:4451
ENSG00000179399	GPC5	HGNC:4453
ENSG00000171723	GPHN	HGNC:15465
ENSG00000183454	GRIN2A	HGNC:4585
ENSG00000198822	GRM3	HGNC:4595
ENSG00000163041	H3F3A	HGNC:4764
ENSG00000132475	H3F3B	HGNC:4765
ENSG00000051108	HERPUD1	HGNC:13744
ENSG00000164683	HEY1	HGNC:4880
ENSG00000100644	HIF1A	HGNC:4910
ENSG00000127946	HIP1	HGNC:4913
ENSG00000124693	HIST1H3B	HGNC:4776
ENSG00000198339	HIST1H4I	HGNC:4793
ENSG00000206503	HLA-A	HGNC:4931
ENSG00000108924	HLF	HGNC:4977
ENSG00000137309	HMGA1	HGNC:5010
ENSG00000149948	HMGA2	HGNC:5009
ENSG00000179362	HMGN2P46	HGNC:26817
ENSG00000135100	HNF1A	HGNC:11621
ENSG00000122566	HNRNPA2B1	HGNC:5033
ENSG00000168172	HOOK3	HGNC:23576
ENSG00000005073	HOXA11	HGNC:5101
ENSG00000106031	HOXA13	HGNC:5102
ENSG00000078399	HOXA9	HGNC:5109
ENSG00000123388	HOXC11	HGNC:5123
ENSG00000123364	HOXC13	HGNC:5125
ENSG00000128713	HOXD11	HGNC:5134
ENSG00000128714	HOXD13	HGNC:5136
ENSG00000174775	HRAS	HGNC:5173
ENSG00000080824	HSP90AA1	HGNC:5253
ENSG00000096384	HSP90AB1	HGNC:5258
ENSG00000117318	ID3	HGNC:5362
ENSG00000138413	IDH1	HGNC:5382
ENSG00000182054	IDH2	HGNC:5383
ENSG00000073792	IGF2BP2	HGNC:28867
ENSG00000104365	IKBKB	HGNC:5960
ENSG00000185811	IKZF1	HGNC:13176
ENSG00000109471	IL2	HGNC:6001
ENSG00000103522	IL21R	HGNC:6006
ENSG00000134352	IL6ST	HGNC:6021
ENSG00000168685	IL7R	HGNC:6024
ENSG00000137265	IRF4	HGNC:6119
ENSG00000133124	IRS4	HGNC:6128
ENSG00000175329	ISX	HGNC:28084
ENSG00000138448	ITGAV	HGNC:6150
ENSG00000113263	ITK	HGNC:6171
ENSG00000162434	JAK1	HGNC:6190
ENSG00000096968	JAK2	HGNC:6192
ENSG00000105639	JAK3	HGNC:6193
ENSG00000153814	JAZF1	HGNC:28917
ENSG00000177606	JUN	HGNC:6204
ENSG00000083168	KAT6A	HGNC:13013
ENSG00000156650	KAT6B	HGNC:17582
ENSG00000136504	KAT7	HGNC:17016
ENSG00000120457	KCNJ5	HGNC:6266
ENSG00000073614	KDM5A	HGNC:9886
ENSG00000126012	KDM5C	HGNC:11114
ENSG00000147050	KDM6A	HGNC:12637
ENSG00000128052	KDR	HGNC:6307
ENSG00000119537	KDSR	HGNC:4021
ENSG00000079999	KEAP1	HGNC:23177
ENSG00000122778	KIAA1549	HGNC:22219
ENSG00000187164	KIAA1598	HGNC:29319
ENSG00000170759	KIF5B	HGNC:6324
ENSG00000157404	KIT	HGNC:6342
ENSG00000136826	KLF4	HGNC:6348
ENSG00000067082	KLF6	HGNC:2235
ENSG00000167751	KLK2	HGNC:6363
ENSG00000118058	KMT2A	HGNC:7132
ENSG00000055609	KMT2C	HGNC:13726
ENSG00000167548	KMT2D	HGNC:7133
ENSG00000128944	KNSTRN	HGNC:30767
ENSG00000133703	KRAS	HGNC:6407
ENSG00000126777	KTN1	HGNC:6467
ENSG00000107929	LARP4B	HGNC:28987
ENSG00000002834	LASP1	HGNC:6513
ENSG00000131023	LATS1	HGNC:6514
ENSG00000150457	LATS2	HGNC:6515
ENSG00000182866	LCK	HGNC:6524
ENSG00000136167	LCP1	HGNC:6528
ENSG00000138795	LEF1	HGNC:6551
ENSG00000104660	LEPROTL1	HGNC:6555
ENSG00000183722	LHFP	HGNC:6586
ENSG00000113594	LIFR	HGNC:6597
ENSG00000160789	LMNA	HGNC:6636
ENSG00000166407	LMO1	HGNC:6641
ENSG00000135363	LMO2	HGNC:6642
ENSG00000145012	LPP	HGNC:6679
ENSG00000139263	LRIG3	HGNC:30991
ENSG00000168702	LRP1B	HGNC:6693
ENSG00000257103	LSM14A	HGNC:24489
ENSG00000104903	LYL1	HGNC:6734
ENSG00000099949	LZTR1	HGNC:6742
ENSG00000183742	MACC1	HGNC:30215
