symbol	ensembl_gene_id	hgnc_id	hgnc_ensembl_gene_id
G6PC1	ENSG00000131482	HGNC:4056	ENSG00000131482
GALNT12	ENSG00000119514	HGNC:19877	ENSG00000119514
GALNT3	ENSG00000115339	HGNC:4125	ENSG00000115339
GATA1	ENSG00000102145	HGNC:4170	ENSG00000102145
GATA2	ENSG00000179348	HGNC:4171	ENSG00000179348
GATA3	ENSG00000107485	HGNC:4172	ENSG00000107485
GDNF	ENSG00000168621	HGNC:4232	ENSG00000168621
GJB2	ENSG00000165474	HGNC:4284	ENSG00000165474
GLA	ENSG00000102393	HGNC:4296	ENSG00000102393
GLI3	ENSG00000106571	HGNC:4319	ENSG00000106571
GNAS	ENSG00000087460	HGNC:4392	ENSG00000087460
GPC3	ENSG00000147257	HGNC:4451	ENSG00000147257
GPC4	ENSG00000076716	HGNC:4452	ENSG00000076716
GPR161	ENSG00000143147	HGNC:23694	ENSG00000143147
GREM1	ENSG00000166923	HGNC:2001	ENSG00000166923
H19	ENSG00000130600	HGNC:4713	ENSG00000130600
HABP2	ENSG00000148702	HGNC:4798	ENSG00000148702
HAX1	ENSG00000143575	HGNC:16915	ENSG00000143575
HFE	ENSG00000010704	HGNC:4886	ENSG00000010704
HMBS	ENSG00000256269	HGNC:4982	ENSG00000256269
HNF1A	ENSG00000135100	HGNC:11621	ENSG00000135100
HNF1B	ENSG00000275410	HGNC:11630	ENSG00000275410
HOXB13	ENSG00000159184	HGNC:5112	ENSG00000159184
HRAS	ENSG00000174775	HGNC:5173	ENSG00000174775
IDH1	ENSG00000138413	HGNC:5382	ENSG00000138413
IGF2	ENSG00000167244	HGNC:5466	ENSG00000167244
IGF2R	ENSG00000197081	HGNC:5467	ENSG00000197081
IKZF1	ENSG00000185811	HGNC:13176	ENSG00000185811
IKZF3	ENSG00000161405	HGNC:13178	ENSG00000161405
IRF4	ENSG00000137265	HGNC:6119	ENSG00000137265
ITK	ENSG00000113263	HGNC:6171	ENSG00000113263
JAK1	ENSG00000162434	HGNC:6190	ENSG00000162434
JAK2	ENSG00000096968	HGNC:6192	ENSG00000096968
JAK3	ENSG00000105639	HGNC:6193	ENSG00000105639
JMJD1C	ENSG00000171988	HGNC:12313	ENSG00000171988
KCNQ1	ENSG00000053918	HGNC:6294	ENSG00000053918
KCNQ1OT1	ENSG00000269821	HGNC:6295	ENSG00000269821
KDM3B	ENSG00000120733	HGNC:1337	ENSG00000120733
KDR	ENSG00000128052	HGNC:6307	ENSG00000128052
KIF1B	ENSG00000054523	HGNC:16636	ENSG00000054523
KISS1R	ENSG00000116014	HGNC:4510	ENSG00000116014
KIT	ENSG00000157404	HGNC:6342	ENSG00000157404
KITLG	ENSG00000049130	HGNC:6343	ENSG00000049130
KLF6	ENSG00000067082	HGNC:2235	ENSG00000067082
KLLN	ENSG00000227268	HGNC:37212	ENSG00000227268
KMT2D	ENSG00000167548	HGNC:7133	ENSG00000167548
KRAS	ENSG00000133703	HGNC:6407	ENSG00000133703
KRT17	ENSG00000128422	HGNC:6427	ENSG00000128422
L2HGDH	ENSG00000087299	HGNC:20499	ENSG00000087299
LCK	ENSG00000182866	HGNC:6524	ENSG00000182866
LEF1	ENSG00000138795	HGNC:6551	ENSG00000138795
LEMD3	ENSG00000174106	HGNC:28887	ENSG00000174106
LIG4	ENSG00000174405	HGNC:6601	ENSG00000174405
LMO1	ENSG00000166407	HGNC:6641	ENSG00000166407
LRIG3	ENSG00000139263	HGNC:30991	ENSG00000139263
LZTR1	ENSG00000099949	HGNC:6742	ENSG00000099949
MAD2L2	ENSG00000116670	HGNC:6764	ENSG00000116670
MAF	ENSG00000178573	HGNC:6776	ENSG00000178573
MAFB	ENSG00000204103	HGNC:6408	ENSG00000204103
MAP2K1	ENSG00000169032	HGNC:6840	ENSG00000169032
MAP2K2	ENSG00000126934	HGNC:6842	ENSG00000126934
MAP2K4	ENSG00000065559	HGNC:6844	ENSG00000065559
MAP3K1	ENSG00000095015	HGNC:6848	ENSG00000095015
MAX	ENSG00000125952	HGNC:6913	ENSG00000125952
MBD4	ENSG00000129071	HGNC:6919	ENSG00000129071
MC1R	ENSG00000258839	HGNC:6929	ENSG00000258839
MDH2	ENSG00000146701	HGNC:6971	ENSG00000146701
MEN1	ENSG00000133895	HGNC:7010	ENSG00000133895
MET	ENSG00000105976	HGNC:7029	ENSG00000105976
MINPP1	ENSG00000107789	HGNC:7102	ENSG00000107789
MITF	ENSG00000187098	HGNC:7105	ENSG00000187098
MLH1	ENSG00000076242	HGNC:7127	ENSG00000076242
